,World Rank,Region Rank,Year Score,Property Rights,Freedom from Corruption,Fiscal Freedom ,Gov Spending,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov Expenditure % of GDP,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP),Score Category,Asia-Pacific,Europe,Middle East / North Africa,North America,South and Central America / Caribbean,Sub-Saharan Africa
120,4.0,4.0,81.4,95.0,95.0,71.5,33.2,99.9,89.5,83.3,86.8,80.0,80.0,1.6,33.0,28.0,31.3,47.2,4.4,122.2,1.4,0.7,27668.0,6.6,4.0,3369.2,37.0,1,1,0,0,0,0,0
121,110.0,21.0,56.6,15.0,25.0,78.7,65.1,51.2,62.2,73.2,85.4,60.0,50.0,2.3,30.0,30.0,18.3,34.1,5.9,18.9,4.7,2.8,3206.0,8.0,8.1,967.9,72.0,4,0,0,0,0,1,0
123,120.0,21.0,55.1,30.0,24.0,82.6,74.6,55.7,67.2,73.3,63.9,40.0,40.0,10.6,24.0,30.0,16.3,29.1,160.3,413.4,7.2,7.0,2578.0,21.0,10.8,8915.0,17.9,4,0,0,0,0,0,1
124,31.0,16.0,70.5,90.0,90.0,51.0,40.3,92.6,44.7,76.9,89.3,70.0,60.0,0.4,47.8,28.0,42.8,44.6,5.0,265.9,1.7,0.7,53471.0,3.0,1.3,3568.8,49.6,2,0,1,0,0,0,0
126,121.0,24.0,55.1,30.0,25.0,80.5,89.0,70.7,47.9,67.0,66.0,35.0,40.0,9.5,25.0,35.0,10.1,19.1,175.3,488.6,2.4,3.7,2787.0,5.6,13.7,1327.0,60.1,4,1,0,0,0,0,0
127,71.0,13.0,62.5,30.0,33.0,86.2,77.8,72.5,40.1,75.9,74.8,65.0,70.0,7.6,25.0,25.0,11.4,27.2,3.6,50.6,10.6,8.8,14097.0,4.5,5.9,2789.8,37.8,3,0,0,0,0,1,0
128,130.0,26.0,53.6,20.0,22.0,67.4,72.3,58.3,73.4,72.4,85.0,35.0,30.0,2.5,42.0,30.0,24.4,30.4,6.7,16.9,8.9,7.3,2532.0,1.9,8.4,-309.2,25.2,4,1,0,0,0,0,0
129,80.0,15.0,61.1,30.0,22.0,95.9,85.4,59.1,25.6,79.8,82.7,70.0,60.0,3.7,10.0,10.0,14.5,22.1,6.5,35.3,3.8,5.3,5413.0,6.6,6.6,303.0,13.7,3,0,0,0,0,1,0
130,44.0,7.0,68.2,40.0,34.0,79.9,89.1,72.3,67.1,84.3,85.0,70.0,60.0,2.5,30.0,30.0,14.5,19.1,30.0,302.0,6.9,7.0,10062.0,7.9,3.4,8232.6,21.6,3,0,0,0,0,1,0
131,97.0,17.0,58.2,30.0,26.0,79.3,90.2,53.1,51.0,76.6,75.5,50.0,50.0,4.8,32.0,30.0,12.1,18.1,95.9,390.4,3.7,4.6,4073.0,7.0,4.8,1262.0,40.5,4,1,0,0,0,0,0
132,57.0,26.0,66.0,60.0,55.0,76.0,43.0,64.0,62.9,77.7,86.8,65.0,70.0,1.6,32.0,19.0,31.8,43.6,37.9,771.7,4.4,4.3,20334.0,10.1,4.3,15138.8,55.4,3,0,1,0,0,0,0
133,67.0,31.0,63.1,70.0,61.0,61.6,28.3,82.8,31.0,79.4,86.8,70.0,60.0,1.6,46.5,26.5,31.3,48.9,10.7,249.0,-1.5,-0.1,23361.0,15.9,3.6,10344.0,106.8,3,0,1,0,0,0,0
134,27.0,2.0,71.3,70.0,72.0,99.8,81.2,69.4,63.4,80.3,82.5,45.0,50.0,3.8,0.0,0.0,4.9,25.1,1.8,182.0,18.8,16.6,102943.0,0.4,2.0,-86.8,31.5,2,0,0,1,0,0,0
135,59.0,28.0,65.1,40.0,36.0,87.9,62.2,70.4,63.5,74.7,86.8,80.0,50.0,1.6,16.0,16.0,26.5,35.5,21.4,267.2,2.5,1.4,12476.0,5.1,5.8,2670.4,33.0,3,0,1,0,0,0,0
136,139.0,41.0,51.1,25.0,24.0,86.9,54.4,69.2,52.6,66.7,77.4,25.0,30.0,3.8,13.0,20.0,27.2,39.0,142.4,2383.4,4.3,2.8,16736.0,6.6,8.4,52878.0,9.6,4,0,1,0,0,0,0
142,82.0,8.0,60.6,40.0,44.0,99.6,52.2,68.2,69.2,65.7,77.3,40.0,50.0,3.9,2.5,2.5,5.4,39.9,28.2,682.8,6.8,3.5,24237.0,10.9,5.0,16400.0,7.5,3,0,0,1,0,0,0
